Acronym,Name,Location,Submission deadline,Start date,Topics
ICRTME-2025,1st International Conference on Recent Trends in Mechanical Engineering,"Adoor, Pathanamthitta,Kerala, India","Apr 21, 2025","Apr 28, 2025","['materials and manufacturing processes.', 'thermal and fluid engineering.', 'design dynamics and control systems.', 'industrial engineering and management']"
ICFEEC - 2025,"Fourth International Conference on Future Trends in Electrical, Electronic Communication and Computing","Coimbatore, India","Sep 27, 2025","Sep 29, 2025",['artificial intelligence']
ICCECE 2026,"International Conference on Computer, Electrical & Communication Engineering","Kolkata, India","Dec 20, 2025","Feb 6, 2026","['cloud computing', 'robotics', 'signal processing', 'bio technology']"
UCNC2025,22th International Conference on Unconventional Computing and Natural Computing,"Nice, France","May 15, 2025","Sep 1, 2025","['natural computing', 'evolutionary computation', 'membrane computing', 'unconventional computing']"
ICETEST-25,"International Conference on Emerging Trends in Engineering, Science and Technology 2025","Mahiravani, Nashik-422213, India","Mar 28, 2025","Apr 11, 2025","['vlsi design, cloud computing', 'distributed generation, smart grid technologies', 'applied chemistry,computational mathematics, applied physics', 'automation and mechatronics,geotech and infrastructure']"
ICCMSO-2025,"4th International Conference on Computational Modelling, Simulation and Optimization","Singapore, Singapore","May 31, 2025","Jun 20, 2025","['computational methods', 'modelling', 'simulation', 'optimization']"
IEEE AI STANDARD 2025,The IEEE Conference on AI Standardization and Quality Assurance,"San Jose, CA, United States","Mar 21, 2025","May 5, 2025",[]
IWASI 2025,10th IEEE International Workshop on Advances in Sensors and Interfaces,"Manfredonia, Italy","May 5, 2025","Jul 3, 2025","['sensors and actuators', 'brain computer interfaces', 'sensor systems for robotics', 'smart sensors and artificial intelligence']"
MEIE2025,"The 8th International Conference on Mechanical, Electric, and Industrial Engineering","Taiyuan, Shanxi Province, China","Jun 10, 2025","Jul 12, 2025","['industrial engineering', 'mechanical engineering', 'electrical engineering', 'power electronics']"
ISICO 2025,The 8th Information Systems International Conference,"Sanur, Bali, Indonesia","Apr 6, 2025","Aug 4, 2025","['information systems', 'it security', 'enterprise system', 'data analytics']"
ISOES 2025,XXXVIIth Annual International Occupational Ergonomics and Safety Conference,"Orlando, FL, United States","May 31, 2025","Jul 24, 2025","['safety', 'occupational ergonomics']"
SIENR 2025,7th International symposium on New and Renewables Energies,"Ghardaia, Algeria","Mar 30, 2025","Oct 15, 2025","['renewable resources', 'photovoltaic solar and hybrid systems', 'thermal solar', 'new energies']"
ROPEC25,"2025 IEEE Power, Electronics and Computing Autumn Meeting","Ixtapa, Mexico","Jul 4, 2025","Nov 12, 2025","['computer science', 'electronics', 'electrical power systems']"
ICoIAS' 2025,2025 the 7th International Conference on Intelligent Autonomous Systems,"Osaka, Japan","Jul 15, 2025","Nov 28, 2025","['motion planning', 'deep learning', 'fuzzy', 'intelligent robotics']"
ICIT2025,2025 The 13th International Conference on Information Technology: IoT and Smart City,"Shanghai, China","Jun 1, 2025","Dec 5, 2025","['international business', 'internet technology', 'data mining', 'security']"
PCCE 2025,2025 IEEE International Conference on Power Conversion and Control Engineering,"Guangzhou, China","May 5, 2025","Nov 14, 2025","['control systems', 'electric vehicles', 'smart grids', 'protection']"
ICSRS 2025,The 9th International Conference on System Reliability and Safety,"Turin, Italy","Jul 5, 2025","Nov 26, 2025","['simulation', 'bayesian methods', 'product reliability', 'quality engineering']"
ICCT 2025,2025 IEEE 25th International Conference on Communication Technology,"Shenyang, China","May 25, 2025","Oct 17, 2025","['signal processing', 'communication', 'networks', 'integrated sensing']"
ICCC 2025,2025 the 11th International Conference on Computer and Communications,"Chengdu, China","Jun 25, 2025","Dec 12, 2025","['artificial intelligence', 'machine learning', 'data mining', 'networking']"
APET 2025,The 4th Asia Power and Electrical Technology Conference,"Xiamen, China","Jul 30, 2025","Dec 26, 2025","['power system', 'electrical engineering', 'smart grid', 'leakage protection']"
ICPE 2025,The 6th International Conference on Power Engineering,"Xi'an, China","Jul 15, 2025","Dec 5, 2025","['energy systems', 'power electronics', 'electromagnetic compatibility', 'simulation']"
ICCIT 2025,2025 The 4th International Conference on Communication and Information Technology,"Nanjing, China","Jul 15, 2025","Dec 5, 2025","['communication theory', 'network security', 'machine learning', 'artificial intelligence']"
DMIP 2025,2025 8th International Conference on Digital Medicine and Image Processing,"Tokyo, Japan","Jul 5, 2025","Nov 27, 2025","['image processing', 'machine learning', 'bioinformatics', 'digital medicine']"
ICASET 2025,"2nd International Conference on Aeronautical Sciences, Engineering and Technology","Muscat, Oman",,"Nov 3, 2025","['applied aerodynamics', 'electronics and avionics system', 'emerging technologies in aviation', 'safety management in aviation']"
BICA 2025,"2025 Annual International Conference on Biologically Inspired Cognitive Architectures, the 16th Annual Meeting of the BICA Society","Puerto Vallarta, Mexico","Apr 17, 2025","Aug 6, 2025","['artificial intelligence', 'cognitive science', 'neuroscience', 'intelligent cognitive systems']"
LightSEC 2025,6th International Workshop on Lightweight Cryptography for Security & Privacy,"İstanbul, Turkey","May 16, 2025","Sep 1, 2025","['homomorphic encryption', 'zero knowledge proofs', 'secure multi party computation', 'post quantum cryptography']"
ICOSSIT 2025,Fourth International Conference on Smart Systems and Innovative Technologies,"Coimbatore, India","Jun 18, 2025","Jun 19, 2025","['wireless communication', 'computer vision and pattern recognition']"
GCSFC-2025,Global Conference on Smart Systems and Future Computing,"Pattaya, Thailand","Apr 23, 2025","Apr 29, 2025","['artificial intelligence', 'soft computing', 'innovative approaches in image processing', 'computing and communication']"
AIISG2025,The 11th International Workshop on Artificial Intelligence Innovation in Smart Grid,"Leuven, Belgium","Mar 14, 2025","Aug 4, 2025",[]
ISD 2025,33rd International Conference on Information Systems Development,"Belgrade, Serbia","May 1, 2025","Sep 3, 2025","['information systems', 'software engineering', 'digital transformation', 'data science and machine learning']"
SCA 2025,ACM SIGGRAPH / Eurographics Symposium on Computer Animation,"Vancouver, Canada",,"Aug 8, 2025","['computer animation', 'simulation']"
IEEE AIoT 2025,IEEE Annual Congress on Artificial Intelligence of Things,"Osaka, Japan",,"Dec 3, 2025",[]
AIAPP 2025,12th International Conference on Artificial Intelligence and Applications,"Copenhagen, Denmark, Denmark","Feb 15, 2025","Apr 26, 2025","['artificial intelligence', 'fuzzy logic', 'robotics', 'hybrid intelligent systems']"
ICCNS2025,"The International Conference on Intelligent Computing, Communication, Networking and Services","Varna, Bulgaria","Apr 15, 2025","Sep 1, 2025","['intelligent computing', 'intelligent communication', 'intelligent networking', 'intelligent services']"
ECCE 2025,European Conference on Cognitive Ergonomics 2025,"Tallinn, Estonia","Apr 14, 2025","Oct 7, 2025","['ergonomics', 'human computer interaction', 'user experience design', 'cognition']"
GCN2025,"Green Chemistry in Nanotechnology for Sustainable Synthesis, Characterization, and Applications of Nanoparticles","Bangalore, India","Apr 30, 2025",,[]
I-4AM 2026,Fourth International Conference on Industry 4.0 and Advanced Manufacturing,"Bengaluru, India",,"Jan 8, 2026","['digital manufacturing', 'sustainable manufacturing', 'additive manufacturing', 'industry 4.0']"
FORCE2025,Foundations Of Reliable Classical-quantum Engineering,"Naples, Italy","Mar 31, 2025","Jun 23, 2025","['dependability', 'quantum computing', 'high performance computing']"
ICATH 2025,International Conference on Advanced Technologies for Humanity,"Kenitra, Morocco",,"Jul 9, 2025","['smart and sustainable cities', 'communication and information technologies', 'civil engineering and smart buildings', 'industry x0 and renewable energies']"
IEEE AITest 2025,The 7th IEEE International Conference on Artificial Intelligence Testing,"Tucson, Arizona, AZ, United States","Apr 1, 2025","Jul 21, 2025","['computer science', 'software engineering', 'artificial intelligence', 'data science']"
DESTION 2025,7th International Workshop On Design Automation For CPS and IoT,"Irvine, CA, United States","Mar 6, 2025","May 6, 2025","['cyber physical systems', 'design automation', 'artificial intelligence', 'machine learning']"
EuroMPI/USA 2025,EuroMPI/USA 2025: 32nd European MPI Users' Group Meeting,"Charlotte, NC, United States","May 23, 2025","Oct 1, 2025","['message passing interface', 'collective communication', 'mpi and artificial intelligence', 'hybrid programming (mpi+x)']"
RSA25,Robot Software Architectures 2025,"Atlanta, GA, United States","Apr 6, 2025","May 19, 2025","['software engineering', 'robotic architectures']"
CMC2025,X Congreso Internacional y XIX Congreso Mexicano de Catálisis,"Poza Rica, Veracruz, Mexico","May 2, 2025","Oct 19, 2025","['caracterización', 'catálisis heterógenea', 'fotocatálisis', 'cinética']"
WIRN2025,Italian Workshop on Neural Networks,"Salerno, Italy",,"Jun 4, 2025",[]
F2MDays'25,Franco-Morocain Mathematics days - 2nd Edition,"Tetouan, Morocco","Mar 26, 2025","May 13, 2025",[]
ACSOS2025,6th IEEE International Conference on Autonomic Computing and Self-Organizing Systems,"Tokyo, Japan","Apr 25, 2025","Sep 29, 2025","['autonomous system', 'self organizing system', 'self adaptive system', 'software engineering']"
CLEETS 2025,Clean Energy and Equitable Transportation Solutions (CLEETS) Global Center 2nd Annual Meeting,"Chicago, IL, United States","Feb 28, 2025","Jun 16, 2025","['sustainable transportation', 'energy transitions', 'global center', 'weather hazards']"
GRADES-NDA 2025,8th Joint International Workshop on Graph Data Management Experiences & Systems (GRADES) and Network Data Analytics (NDA),"Berlin, Germany","Mar 31, 2025","Jun 27, 2025","['graph processing', 'graph databases', 'graph analytics', 'network data analytics']"
CSCS25,2025 25th International Conference on Control Systems and Computer Science,"Bucharest, Romania","Mar 14, 2025","May 27, 2025",[]
INTERACCION 2025,XXV International Congress on Human-Computer Interaction,"Valladolid, Spain",,"Sep 3, 2025",[]
EPEW 2025,European Performance Engineering Workshop,"Catania, Italy",,"Jun 26, 2025",[]
CIE2025,The 52nd International Conference on Computers and Industrial Engineering,"Lyon, France","Apr 30, 2025","Oct 29, 2025",[]
SmaWa2025,Smarte Wasserleitungen,"Potsdam, Germany","May 6, 2025","Sep 19, 2025","['ai', 'data science', 'waterlines']"
ICATA 25,The First International Conference on Artificial Intelligence,"Mohammedia, Morocco","Mar 15, 2025","Jul 26, 2025","['artificial intelligence', 'machine learning', 'cybersecurity', 'computer science']"
SIESD-2025,"1st International Conference on Smart Innovations, Engineering Systems & Design","Roorkee, India","Apr 15, 2025","May 23, 2025",[]
INGEO 2025,9th International Conference on Engineering Surveying,"Brno, Czechia","Apr 30, 2025","Oct 15, 2025","['3d modelling of engineering structures', 'deformation measurement', 'industry surveys', 'quality assurance of engineering surveys']"
eSmarTA-2025,The 5th International Conference on Emerging Smart Technologies and Applications (eSmarTA-2025),"Ibb, Yemen",,"Aug 5, 2025","['artificial intelligence', 'cybersecurity', 'internet of things', 'computing']"
GPPS-TC-2025,GPPS Shanghai2025,"Shanghai, China","Apr 7, 2025","Sep 4, 2025","['heat transfer', 'aeroacoustics']"
ICICCT 2025,"10th International Conference Information, Communication & Computing Technology.","NEW DELHI, India","Mar 10, 2025","May 23, 2025",[]
ECMR2025,12th European Conference on Mobile Robots (ECMR 2025),"Padova, Italy","Apr 17, 2025","Sep 2, 2025","['mobile robotics', 'robot learning', 'artificial intelligence']"
ICBDAIA25,The 4th ‎International Conference on Big Data and Artificial Intelligence Applications (indexed Conference),"Kenitra, Morocco","Apr 1, 2025","Jul 2, 2025","['big data analytics', 'artificial intillegence', 'nlp modeling', 'cybersecurity and block chaine']"
158th Papers 2025,2025 AES European Convention,"Warsaw, Poland","Feb 17, 2025","May 22, 2025",[]
IWLS 2025,34th International Workshop on Logic & Synthesis,"Verona, Italy","Mar 28, 2025","Jun 12, 2025","['electronic design automation', 'logic synthesis', 'integrated circuits']"
ARTISTE2025,International Conference in Artificial Intelligence in Structural Engineering,"Turin, Italy","Sep 14, 2025","Sep 15, 2025","['structural engineering', 'machine learning', 'structural health monitoring', 'structural optimization']"
SNTS'2025,Séminaire des Nouvelles Technologies de Soudage,"Hammamet, Tunisia","Mar 31, 2025","May 2, 2025","['fabrication additive métallique', 'robotique et automatisation', 'soudage laser', 'contrôle mmt des ouvrages mécanosoudés']"
Cyber-2025,Workshop on Advanced in CyberSecurity,"Stavropol, Russia",,"May 18, 2025",[]
APSCOM 2025,"The 13th IET International Conference on Advances in Power System Control, Operation and Management","Hong Kong, Hong Kong",,"Nov 9, 2025","['management and planning', 'operation and control', 'energy end use', 'next generation technology']"
NU-STARC 2025,"2025 International Conference on New Unifying of Sustainable Technology, Advanced Research, and Climate Change","Pattaya, Thailand","Sep 30, 2025","Oct 27, 2025","['sustainable energy and green technology', 'remote sensing of the earth', 'digital transformation in engineering', 'disaster management and environmental protection']"
01FDNN,"Fractional Discrete Neural Networks: Solvability, Stability, and Chaos",,"Oct 8, 2025",,"['stability', 'chaos', 'control theory', 'fractional discrete neural networks']"
EOOLT 2025,10th International Workshop on Equation-Based Object-Oriented Modeling Languages and Tools,"Bielefeld, Germany","Apr 21, 2025","Jun 13, 2025","['equation based language design', 'hybrid systems modeling', 'multi resolution/ scale modeling', 'static analysis and verification']"
ITDM3,Innovative Textiles and Developed Materials (3rd Edition),"Monastir, Tunisia","Apr 10, 2025","May 9, 2025","['innovative materials and polymers', 'technical and smart textiles', 'ecological textiles dyeing and finishing', 'circularity and sustainability in textiles']"
2026 RBDCC,2026 Residential Building Design & Construction Conference,"State College, PA, United States","Oct 10, 2025","Mar 18, 2026","['building technologies materials and methods', 'high performance and sustainable building', 'social components of housing', 'building science']"
AQ2UASIM,Advancing Quantitative and Qualitative SIMulators for Marine Applications,"ATLANTA, GA, United States","Apr 17, 2025","May 23, 2025",[]
ICEMES2025,18th International Conference on Engineering of Modern Electric Systems,"Oradea, Romania","Feb 19, 2025","May 29, 2025","['electrical engineering', 'computer science', 'control systems', 'electronics and telecommunications']"
BALKANMINE 2025,The 9th Balkan Mining Congress,"Petrosani, Romania","Sep 15, 2025","Oct 9, 2025","['mining safety and survey', 'geophysics in mining', 'mineral resources and mine geology', 'mining exploitation methods and technologies']"
MBSE2025,MBSE Symposium - Transforming the Digital Enterprise,"Huntsville, AL, United States","Mar 14, 2025","May 21, 2025","['digital engineering', 'digital transformation', 'mbse', 'ai4se / se4ai']"
IoTSPT2025,"15th International Workshop on Security, Privacy and Trust for IoT","Tokyo, Japan","Apr 8, 2025","Aug 7, 2025","['security', 'internet of things', 'privacy']"
ICEST 2025,"International Scientific Conference on Information, Communication and Energy Systems and Technologies","Ohrid, Macedonia","Mar 31, 2025","Jun 26, 2025",[]
AI4IP,Optimisation of Industrial Production with AI Algorithms,"Bangkok, Thailand","Mar 7, 2025","Aug 25, 2025","['ai', 'production planning', 'industrial and mobile robots', 'optimisation of manufacturing processes']"
QSNS 2025,2nd Workshop on Quantum-Secure Networks and Systems,"Bologna, Italy","Feb 10, 2025","Jul 2, 2025","['post quantum cryptography', 'hybrid pq/t schemes and algorithms', 'cryptographic agility', 'hw/sw support for pqc']"
ICRA2025 Workshop,The 2nd Workshop on Nonverbal Cues for Human-Robot Cooperative Intelligence,"Atlanta, GA, United States","Mar 10, 2025","May 19, 2025","['human robot interaction', 'robotics', 'learning algorithms', 'computer vision and ai']"
ICSC 2025,The Fifth Intelligent Cybersecurity Conference,"Tampa, FL, United States","Feb 15, 2025","May 19, 2025","['cybersecurity', 'intelligent systems', 'malware detection', 'blockchain']"
TripleHelix2025,Clusters of Innovation: Building Resilient Ecosystems for Prosperity and Sustainable Progress,"Monterrey, Mexico","May 12, 2025","Oct 28, 2025","['innovation', 'entrepreneurship', 'technology management', 'sustainability']"
AAAC 2025,2025 the 3rd Asian Aerospace and Astronautics Conference,"Nanjing, China","May 10, 2025","Sep 26, 2025","['combustion', 'aerospace', 'navigation', 'electronics systems']"
ICOMMA2025,The 2nd International Conference on “Modern Mechanics and Applications”,"Ho Chi Minh, Viet Nam","Jul 15, 2025","Oct 17, 2025","['computational mechanics', 'biomechanics', 'sensors and iot', 'smart materials and structures']"
ESEM'25 Technical Papers,ACM / IEEE International Symposium on Empirical Software Engineering and Measurement 2025,"Honolulu, HI, United States","Apr 25, 2025","Sep 29, 2025","['empirical studies', 'systematic literature reviews', 'replication of empirical studies']"
IEEE HPSC 2025,The 11th IEEE International Conference on High Performance and Smart Computing,"New York City, NY, United States",,"May 9, 2025","['high performance computing', 'distributed computing', 'cloud computing']"
PIM11,"Entrepreneurship, Engineering and Management","Zrenjanin, Serbia","Mar 31, 2025","Apr 26, 2025","['cc and industry 5.0', 'cc and ict', 'cc and engineering education', 'cc and sustainable development rm']"
HybridAIMS2025,3rd International Workshop on Hybrid Artificial Intelligence and Enterprise Modelling,"Vienna, Austria","Mar 7, 2025","Jun 16, 2025","['hybrid ai based information systems', 'neural symbolic reasoning and learning', 'llms and knowledge graphs', 'hybrid intelligence and enterprise modelling']"
VNNCS00,Workshop on Formal Verification of Control Systems with Neural Network Components,"Denver, CO, United States","May 2, 2025","Jul 7, 2025","['system verification', 'cyber physical systems', 'neural networks', 'control']"
16. IMOC,16th International Modelica and FMI Conference,"Lucerne, Switzerland","Apr 17, 2025","Sep 8, 2025","['modelling', 'simulation', 'cyber physical systems', 'modelica fmi efmi ssp dcp']"
CDVE2025,"The 22nd International Conference on Coopertive Design, Visualization and Engineering","Bangkok, Thailand",,"Oct 19, 2025","['cooperative design', 'cooperative visualization', 'cooperative engineering', 'cooperative applications']"
MVDL 2025,2025 International Conference on Machine Vision and Deep Learning,"Hong Kong, Hong Kong",,"Apr 11, 2025",[]
NAMSP2025,6th International Workshop on New Approaches for Multidimensional Signal Processing 2025,"Sofia, Bulgaria","Apr 30, 2025","Jul 24, 2025","['digital image processing', 'pattern recognition', 'machine intelligence', 'virtual reality']"
ICITE 2025,2025 the 10th International Conference on Intelligent Transportation Engineering,"Beijing, China","Jun 10, 2025","Oct 24, 2025","['intelligent transportation systems', 'intelligent vehicles', 'vehicle technology', 'social transportation']"
RAAI 2025,"2025 5th International Conference on Robotics, Automation, and Artificial Intelligence","Singapore, Singapore","Aug 1, 2025","Dec 18, 2025","['robotics', 'control systems', 'artificial intelligence', 'signal processing']"
IEEE SMC 2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics","Vienna, Austria","Apr 4, 2025","Oct 5, 2025","['cybernetics', 'human machine systems', 'systems science and engineering', 'artificial intelligence']"
SeRIM 2025,1st International Workshop on Security and Risk in Identity Management,"Venice, Italy","Mar 10, 2025","Jul 4, 2025","['identity management', 'security', 'risk']"
icABCD2025,"2025 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems","Cape Town, South Africa","Apr 15, 2025","Nov 26, 2025","['artificial intelligence', 'ict4d', 'computer security', 'communication systems and computer networks']"
ACSW'25,Automotive Cyber Security Workshop 2025,"Venice, Italy","Feb 3, 2025","Jun 30, 2025",[]
GLSVLSI'25,Great Lakes Symposium on VLSI,"New Orleans, LA, United States","Mar 17, 2025","Jun 30, 2025","['testing', 'vlsi circuits and design', 'iot and smart systems', 'computer aided design (cad)']"
ICBEM25,1st International Conference on Building Engineering & Management,India,"Jun 30, 2025","Nov 3, 2025","['modern methods in building engineering', 'advancements in construction management practices', 'sustainable design and construction practices', 'urban infrastructure project challenges']"
DEFACTIFY25,DEFACTIFY 4.0,"Philadelphia, PA, United States","Feb 26, 2025",,[]
ICIECCA - 2025,"4th International Conference on Inventive Electronics, Computing and Communication Applications","Coimbatore, India","Mar 22, 2025","Mar 25, 2025","['wireless communication', 'computer vision and pattern recognition', 'electrical engineering', 'digital technology']"
ITC 2025,IEEE International Test Conference,"San Diego, CA, United States","Apr 2, 2025","Sep 22, 2025",[]
ICES-2025,International Conference on Innovations and Challenges in e-Mobility and Smart Grid,"Nagpur, India","Feb 28, 2025","May 16, 2025","['energy storage systems', 'advances in e mobility technologies', 'smart grid infrastructure and applications', 'power electronics and electric drives']"
DoCEIS 2025,"16th Advanced Doctoral Conference on Computing, Electrical and Industrial Systems","Caparica, Portugal","Mar 1, 2025","Jul 2, 2025","['cyber physical systems', 'ai', 'manufacturing', 'energy']"
YEF-ECE 2025,9th International Young Engineers Forum on Electrical and Computer Engineering,"Lisbon Metropolitan, Portugal",,"Jul 4, 2025",[]
ICECCO 2025,18th International Conference on Electronics Computer and Computation,"Bishkek, Kyrgyzstan","Feb 28, 2025","Jun 26, 2025","['modelling and simulation', 'ai and deep learning', 'image processing and computer vision', 'drone and robotics']"
TFTC2025,"2025 Summer Meeting of the Traffic Flow Theory and Characteristics Committe, Symposium on Advancing Traffic Flow Theory for a Sustainable Future","Cairns, QLD, Australia","Mar 15, 2025","Jul 7, 2025","['electric vehicles', 'traffic flow theory and modeling', 'multi modal integration', 'micromobility modes']"
ICOPSYT2025,International Conference on Photovoltaic Systems and Technologies: Trends and Innovations 2025,"Bogotá, Colombia","May 23, 2025","Jun 10, 2025","['sistemas fotovoltaicos', 'nuevas tecnologías', 'agrivoltaico', 'energía solar']"
InterPartner-2025,7th Grabchenko’s International Conference on Advanced Manufacturing Processes,"Kielce, Poland",,"Sep 23, 2025","['manufacturing engineering', 'mechanical engineering', 'materials science', 'quality assurance']"
AEES 2025,2025 the 6th International Conference on Advanced Electrical and Energy Systems,"Xi'an, China","May 30, 2025","Oct 17, 2025","['energy conversion', 'optimization', 'management', 'electric machines']"
ICAIT 2025,IEEE 17th International Conference on Advanced Infocomm Technology,"Liaocheng, China","Jul 20, 2025","Oct 24, 2025","['communication', 'network', 'signal processing', 'image processing']"
ICMV 2025,2025 The18th International Conference on Machine Vision,"Paris, France","Jun 5, 2025","Oct 19, 2025","['machine learning', 'feature space', 'rendering', 'image formation']"
ICSPS 2025,2025 The 17th International Conference on Signal Processing Systems,"Chengdu, China","May 15, 2025","Oct 24, 2025","['signal processing', 'biomedical engineering', 'machine learning', 'reliability']"
ICICM 2025,2025 The 10th International Conference on Integrated Circuits and Microsystems,"Hefei, China","May 10, 2025","Oct 17, 2025","['system design', 'machine learning', 'photonics', 'chiplet technology']"
CRC 2025,"2025 10th International Conference on Control, Robotics and Cybernetics","Shenzhen, China","Jun 20, 2025","Dec 12, 2025","['intelligent agents', 'signal processing', 'decision analysis', 'energy systems']"
ICCR 2025,2025 7th International Conference on Control and Robotics,"Kyoto, Japan","Jul 15, 2025","Dec 4, 2025","['stability analysis', 'robotics', 'virtual reality', 'smart sensors']"
MEAE 2025,2025 11th International Conference on Mechanical Engineering and Aerospace Engineering,"Beijing, China","Jun 1, 2025","Oct 17, 2025","['mechanical engineering', 'avionics systems', 'aerospace mechatronics', 'aircraft navigation']"
ICCSN 2025,2025 the 17th International Conference on Communication Software and Networks,"Qingdao, China","May 20, 2025","Jul 25, 2025","['networking', 'communication networks', 'signal processing', 'microwave engineering']"
ICRAIS2025,2025 International Conference on Recent Advances in Information Systems,"Balaclava, Mauritius","Apr 30, 2025","Sep 10, 2025","['information systems', 'artificial intelligence', 'machine learning', 'cybersecurity']"
EPIA2025,The 24th EPIA International Conference on Artificial Intelligence,"Faro, Portugal","May 23, 2025","Oct 1, 2025","['artificial intelligence', 'generative ai', 'ethics and responsibility in ai', 'knowledge discovery and business intelligence']"
CGI 2025,The 42nd Computer Graphics International 2025,"Kowloon, Hong Kong","May 2, 2025","Jul 14, 2025","['computer graphics', 'computer vision', 'image processing', 'generative artificial intelligence']"
CreaRE25,12th International Workshop on Creativity in Requirements Engineering at REFSQ`25,"Barcelona, Spain","Feb 7, 2025","Apr 7, 2025","['creativity', 'requirements engineering', 'artificial intelligence', 'gamification']"
COLEAD2025,4to Coloquio en Electrónica Análogica y Digital,"Guadalajara, Mexico","Aug 20, 2025","Oct 1, 2025","['inteligencia artificial', 'circuitos analógicos', 'circuitos digitales', 'circuitos de rf']"
2025 ICACIT Symposium,The 11th International Symposium on Accreditation of Engineering and Computing Education,"Chiclayo, Peru","Jun 15, 2025","Oct 15, 2025","['quality assurance and accreditation', 'teaching and learning in engineering', 'digital transformation in higher education', 'artificial intelligence in educational']"
CUCN-2025,"Cybersecurity Unlocked: Cryptography, Network Security, Data Protection",,"Mar 31, 2025",,"['network security', 'data protection', 'threat detection', 'cyber security']"
ovt-23,The 2024 INTO-CPS Overture Summit,"Aarhus, Denmark","Apr 25, 2025","Jun 11, 2025","['formal methods', 'cyber physical systems', 'tool support', 'vienna development method (vdm)']"
Cyber-AI2025,The International Conference on Cybersecurity and AI-Based Systems,"Varna, Bulgaria",,"Sep 1, 2025","['large language models', 'cybersecurity', 'deep learning', 'machine learning']"
ELEVIT2025,11th Panhellenic Conference on Biomedical Technology - 2nd Panhellenic Conference of Physical Sciences in Health: Innovations & Perspectives,"Athens, Greece","Mar 31, 2025","May 21, 2025","['biomedical engineering', 'clinical engineering', 'health technology', 'biomedical technology']"
ICEEIE 2025,"International Conference on Electronics, Electrical and Information Engineering","Changsha, China",,"Sep 19, 2025","['electronics', 'electrical engineering', 'information engineering', 'communication engineering']"
AIED 2025,26th International Conference on Artificial Intelligence in Education,"Palermo, Italy",,"Jul 22, 2025",[]
ICT 2025,2025 IEEE 31st International Conference on Telecommunications (ICT),"Budva, Montenegro","Mar 14, 2025","Apr 28, 2025",[]
REES & RCEE 2025,Research in Engineering Education Symposium and Regional Conference in Engineering Education 2025,"Johor Bahru, Malaysia","May 31, 2025","Sep 29, 2025",[]
ICETSD 2025,International Conference on Emerging Technologies for Sustainable Development,"Naya Raipur - 492101, Chhattisgarh,, India","Mar 10, 2025","Apr 17, 2025","['agriculture', 'food security', 'sustainable development', 'global health advancement']"
BID 2025,Benchmarking in the Data Center 2025,"Toronto, Canada","Feb 1, 2025","May 5, 2025","['large scale system benchmarking', 'data center scale workload analysis', 'performance power and cost analysis', 'heterogenous systems evaluation']"
ICRMBEE2025,7th International Conference on Research Methodology for Built Environment and Engineering 2025,"Selangor, Malaysia","Jan 15, 2025","Jun 3, 2025",['urban planning']
IcETRAN 2025,"12th International Conference on Electrical, Electronic and Computing Engineering IcETRAN 2025","Čačak, Serbia",,"Jun 9, 2025","['electronics', 'automatics', 'telecommunications', 'nuclear engineering']"
CLAWAR 2025,28th International Conference Series on Climbing and Walking Robots and the Support Technologies for Mobile Machines,"Shenzhen, China","Apr 1, 2025","Sep 5, 2025","['service robots', 'legged robots', 'climbing robots', 'biologically inspired systems and solutions']"
KIMC 2025,5th Kotor International Maritime Conference,"Kotor, Montenegro","Nov 21, 2025","Nov 26, 2025","['artificial intelligence', 'autonomous vessels', 'energy efficiency in maritime sector', 'information technologies in shipping']"
2025 RAPDASA-RobMech-PRASA-AMI Conference,"26th Rapid Product Development Association of South Africa Conference, joined by RobMech, PRASA and AMI","Pretoria, South Africa","May 9, 2025","Oct 27, 2025","['additive manufacturing', 'pattern recognition', 'materials engineering', 'robotics and mechatronics']"
icci2025,2025 International Conference on Cognitive Intelligence,"Hong Kong, Hong Kong",,"Jul 4, 2025",[]
ITC INDIA 2025,9th IEEE International Test Conference India 2025,"Bangalore, India",,"Jul 20, 2025",[]
LOGIC 2025,6th Logistics International Conference,"Belgrade, Serbia","Mar 31, 2025","May 22, 2025","['logistics', 'operations research', 'supply chains management', 'decision sciences']"
EDSI Conference 2025,"15th EDSI Annual Conference - Decision Making facing economic, environmental and social changes","Gothenburg, Sweden","Feb 10, 2025","Jun 1, 2025","['business analytics', 'supply chain management', 'operations strategy', 'energy transition']"
14th ICPT,14th International Conference on Road and Airfield Pavement Technology,"Chiangmai, Thailand","Mar 31, 2025","Jul 16, 2025","['pavement engineering', 'civil engineering', 'road', 'airfield']"
AI Security & Privacy 2025,First International Workshop on Artificial Intelligence Security and Privacy,"Osaka, Japan","Jan 26, 2025","May 26, 2025","['privacy enhancing technologies', 'machine learning and computer security', 'secure large ai systems', 'models privacy and security']"
TSL 2025,INFORMS TSL Workshop 2025,"Seoul, South Korea","Jan 31, 2025","May 19, 2025","['operations research', 'machine learning', 'transportation science', 'logistics']"
WSSE 2025,2025 the 7th World Symposium on Software Engineering,"Okayama, Japan","May 30, 2025","Oct 24, 2025","['artificial intelligence', 'requirements engineering', 'knowledge recovery', 'healthcare engineering']"
